feature,importance
CNT_CHILDREN,14.8
AMT_INCOME_TOTAL,152.4
AMT_CREDIT,402.79999999999995
AMT_ANNUITY,378.2
AMT_GOODS_PRICE,318.0
REGION_POPULATION_RELATIVE,147.60000000000002
DAYS_BIRTH,460.5999999999999
DAYS_EMPLOYED,297.0
DAYS_REGISTRATION,239.8
DAYS_ID_PUBLISH,270.0
OWN_CAR_AGE,226.79999999999998
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,1.4
FLAG_WORK_PHONE,38.8
FLAG_CONT_MOBILE,0.2
FLAG_PHONE,15.2
FLAG_EMAIL,5.2
CNT_FAM_MEMBERS,24.200000000000003
REGION_RATING_CLIENT,9.599999999999998
REGION_RATING_CLIENT_W_CITY,52.6
HOUR_APPR_PROCESS_START,91.0
REG_REGION_NOT_LIVE_REGION,5.0
REG_REGION_NOT_WORK_REGION,3.2
LIVE_REGION_NOT_WORK_REGION,4.3999999999999995
REG_CITY_NOT_LIVE_CITY,28.0
REG_CITY_NOT_WORK_CITY,5.4
LIVE_CITY_NOT_WORK_CITY,4.6000000000000005
EXT_SOURCE_1,627.0
EXT_SOURCE_2,487.79999999999995
EXT_SOURCE_3,598.4
APARTMENTS_AVG,50.0
BASEMENTAREA_AVG,53.2
YEARS_BEGINEXPLUATATION_AVG,47.39999999999999
YEARS_BUILD_AVG,39.0
COMMONAREA_AVG,53.6
ELEVATORS_AVG,18.4
ENTRANCES_AVG,28.8
FLOORSMAX_AVG,35.6
FLOORSMIN_AVG,25.2
LANDAREA_AVG,53.0
LIVINGAPARTMENTS_AVG,37.0
LIVINGAREA_AVG,48.4
NONLIVINGAPARTMENTS_AVG,29.199999999999996
NONLIVINGAREA_AVG,55.400000000000006
APARTMENTS_MODE,65.39999999999999
BASEMENTAREA_MODE,67.0
YEARS_BEGINEXPLUATATION_MODE,58.0
YEARS_BUILD_MODE,40.8
COMMONAREA_MODE,53.00000000000001
ELEVATORS_MODE,10.4
ENTRANCES_MODE,18.599999999999998
FLOORSMAX_MODE,11.8
FLOORSMIN_MODE,14.8
LANDAREA_MODE,59.199999999999996
